전철역코드,전철역명,X좌표,Y좌표
4319,광교,2328,3514
4505,동백,3001,3792
4515,둔전,3659,3792
4514,보평,3586,3792
4517,전대.에버랜드,3732,3792
4504,어정,2925,3792
4503,지석,2855,3754
4513,고진,3512,3792
4511,김량장,3366,3792
4510,명지대,3293,3792
4509,시청.용인대,3220,3792
4508,삼가,3147,3792
4506,초당,3074,3792
4502,강남대,2804,3705
4610,경기도청북부청사,3439,260
4601,발곡,3082, 383
4603,범골,3020,318
4604,경전철의정부,2990,285
4605,의정부시청,3006,260
4607,의정부중앙,3229,260
4608,동오,3299,260
4609,새말,3369,260
4611,효자,3509,260
4612,곤제,3551,280
4613,어룡,3586,316
4614,송산,3621,351
4615,탑석,3656,381
4606,흥선,3085,260
